point_id,timestamp,set_no,game_no,score_before_point,server,serve_number,serve_code,return_code,return_aggr,rally_len_shots,stroke_seq,pattern,tactic_code,pressure_flags,final_shot_type,final_outcome,court_pos_final,notes
20260117164629883649,2026-01-17 16:46:29,1,1,0 - 1,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,ressured by op
20260117164655883441,2026-01-17 16:46:55,1,1,0 - 2,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,serve returned by op
20260117164712159813,2026-01-17 16:47:12,1,1,0 - 3,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,out wide.
20260117164742068348,2026-01-17 16:47:42,1,1,1 - 3,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,op error
20260117164822853856,2026-01-17 16:48:22,1,1,2 - 3,m,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,out last op
20260117164846464427,2026-01-17 16:48:46,1,1,2 - 4,m,2,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,double fault
20260117165030233285,2026-01-17 16:50:30,1,1,2 - 5,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,backhand out wide
20260117165051048617,2026-01-17 16:50:51,1,1,3 - 5,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,op return too long
20260117165116915190,2026-01-17 16:51:16,1,1,3 - 6,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,return too long
20260117165135886175,2026-01-17 16:51:35,1,1,3 - 7,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,unforced error return
20260117165249640305,2026-01-17 16:52:49,1,1,3 - 8,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,"pressure the op, crossed by op"
20260117165532469460,2026-01-17 16:55:32,1,1,3 - 9,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,forhand wide
20260117165600353479,2026-01-17 16:56:00,1,2,0 - 0,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,forehand too long
20260117165611206300,2026-01-17 16:56:11,1,2,15 - 0,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,op drop error
20260117165638784987,2026-01-17 16:56:38,1,2,15 - 15,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,return serve too long
20260117165716645146,2026-01-17 16:57:16,1,2,30 - 15,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,W,,winner move the op
20260117165746785225,2026-01-17 16:57:46,1,2,30 - 30,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,return too long
20260117165807956033,2026-01-17 16:58:07,1,2,30 - 40,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,backhand return too long
20260117170004303795,2026-01-17 17:00:04,1,3,0 - 0,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,dropped by op
20260117170059910634,2026-01-17 17:00:59,1,3,0 - 15,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,double fault
20260117170305786146,2026-01-17 17:03:05,1,3,0 - 30,o,1,Unknown (UNK),N/A,,Medium,,Unknown (UNK),Unknown (UNK),,N/A,L,,"moved by op, controlled by op"
